estacao_historica,ano_alvo,fonte_dados,cod_estacao,nome_estacao_9b,estacao_mp10,municipio_mp10,distancia_km,nota,nome_estacao_qaqc,intervalo_modal_min,n_esperado_dia,confianca_cadencia,cadencia_inconsistente,n_dias_algum_valor_ano,n_dias_90_ano,prop_90_ano,n_meses_80pct_dias_90,maior_lacuna_sem_90,n_dias_mp10_validos,n_overlap_algum,n_overlap_75,n_overlap_80,n_overlap_90,n_overlap_100,pct_overlap_algum,pct_overlap_75,pct_overlap_80,pct_overlap_90,pct_overlap_100,candidato_com_valor_no_ano
CUPE,2021,CEMADEN,261160606G,Lagoa Encantada - COHAB,EDCUPE,Ipojuca,32.7409900538954,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Lagoa Encantada - COHAB,60,24,BAIXA,TRUE,365,364,0.997260273972603,12,1,347,347,347,346,346,344,100,100,99.7118155619597,99.7118155619597,99.135446685879,TRUE
CUPE,2021,CEMADEN,260790108A,Curado 4 | CuradoII,EDCUPE,Ipojuca,36.1887365141337,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Curado 4,60,24,BAIXA,TRUE,365,364,0.997260273972603,12,1,347,347,346,346,346,340,100,99.7118155619597,99.7118155619597,99.7118155619597,97.9827089337176,TRUE
CUPE,2021,CEMADEN,261160620A,Porto,EDCUPE,Ipojuca,42.5415816576379,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Porto,60,24,BAIXA,TRUE,365,364,0.997260273972603,12,1,347,347,346,346,346,338,100,99.7118155619597,99.7118155619597,99.7118155619597,97.4063400576369,TRUE
CUPE,2021,CEMADEN,260345404A,Jardim Primavera,EDCUPE,Ipojuca,42.9433340111851,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Jardim Primavera,60,24,BAIXA,TRUE,365,364,0.997260273972603,12,1,347,347,346,346,346,338,100,99.7118155619597,99.7118155619597,99.7118155619597,97.4063400576369,TRUE
CUPE,2021,CEMADEN,261370101A,Chã da Tábua,EDCUPE,Ipojuca,44.7694102122064,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Chã da Tábua,60,24,BAIXA,TRUE,365,364,0.997260273972603,12,1,347,347,347,346,346,340,100,100,99.7118155619597,99.7118155619597,97.9827089337176,TRUE
CUPE,2021,CEMADEN,260450201A,Centro,EDCUPE,Ipojuca,48.877602175369,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Centro,60,24,BAIXA,TRUE,365,364,0.997260273972603,12,1,347,347,346,346,346,336,100,99.7118155619597,99.7118155619597,99.7118155619597,96.8299711815562,TRUE
CUPE,2021,CEMADEN,260790102G,Alto Vento,EDCUPE,Ipojuca,33.7159452352425,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Alto Vento,60,24,BAIXA,TRUE,365,363,0.994520547945205,12,1,347,347,347,346,346,343,100,100,99.7118155619597,99.7118155619597,98.8472622478386,TRUE
CUPE,2021,CEMADEN,261485702A,TAMANDARE - APAC,EDCUPE,Ipojuca,39.7778082094504,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,TAMANDARE - APAC,60,24,BAIXA,TRUE,365,363,0.994520547945205,12,1,347,347,347,346,346,333,100,100,99.7118155619597,99.7118155619597,95.9654178674352,TRUE
CUPE,2021,CEMADEN,261640703A,Cajá,EDCUPE,Ipojuca,41.4457294212164,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Cajá,60,24,BAIXA,TRUE,365,363,0.994520547945205,12,1,347,347,347,346,345,330,100,100,99.7118155619597,99.4236311239193,95.1008645533141,TRUE
CUPE,2021,CEMADEN,260345405A,Vila da Fábrica,EDCUPE,Ipojuca,44.8570478136092,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Vila da Fábrica,60,24,BAIXA,TRUE,365,363,0.994520547945205,12,1,347,347,346,346,345,331,100,99.7118155619597,99.7118155619597,99.4236311239193,95.3890489913545,TRUE
CUPE,2021,CEMADEN,261160614A,Campina do Barreto,EDCUPE,Ipojuca,46.332686106302,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Campina do Barreto,60,24,BAIXA,TRUE,365,362,0.991780821917808,12,1,347,347,346,346,344,319,100,99.7118155619597,99.7118155619597,99.135446685879,91.9308357348703,TRUE
CUPE,2021,CEMADEN,261370103A,Tiúma,EDCUPE,Ipojuca,46.6555589415064,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Tiúma,60,24,BAIXA,TRUE,365,362,0.991780821917808,12,1,347,347,346,346,344,330,100,99.7118155619597,99.7118155619597,99.135446685879,95.1008645533141,TRUE
CUPE,2021,CEMADEN,260720801A,Centro,EDCUPE,Ipojuca,2.31199229299342,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Centro,60,24,BAIXA,TRUE,365,361,0.989041095890411,12,1,347,347,346,346,343,334,100,99.7118155619597,99.7118155619597,98.8472622478386,96.2536023054755,TRUE
CUPE,2021,CEMADEN,260520201A,Jaguaribe,EDCUPE,Ipojuca,21.9971983216112,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Jaguaribe,60,24,BAIXA,TRUE,365,361,0.989041095890411,12,2,347,347,346,346,343,325,100,99.7118155619597,99.7118155619597,98.8472622478386,93.6599423631124,TRUE
CUPE,2021,CEMADEN,261160617A,Pina,EDCUPE,Ipojuca,37.3789076993713,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Pina,60,24,BAIXA,TRUE,365,361,0.989041095890411,12,1,347,347,346,346,343,327,100,99.7118155619597,99.7118155619597,98.8472622478386,94.2363112391931,TRUE
CUPE,2021,CEMADEN,260345403A,Bairro dos Estados,EDCUPE,Ipojuca,41.9883218244496,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Bairro dos Estados,60,24,BAIXA,TRUE,365,361,0.989041095890411,12,2,347,347,346,346,343,325,100,99.7118155619597,99.7118155619597,98.8472622478386,93.6599423631124,TRUE
CUPE,2021,CEMADEN,260790104A,Prazeres,EDCUPE,Ipojuca,25.322572151003,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Prazeres,60,24,BAIXA,TRUE,365,360,0.986301369863014,12,2,347,347,347,346,343,340,100,100,99.7118155619597,98.8472622478386,97.9827089337176,TRUE
CUPE,2021,CEMADEN,261160615A,Ibura,EDCUPE,Ipojuca,32.1368931518028,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Ibura,60,24,BAIXA,TRUE,365,360,0.986301369863014,12,2,347,347,344,344,342,328,100,99.135446685879,99.135446685879,98.5590778097983,94.5244956772334,TRUE
CUPE,2021,CEMADEN,260345401A,Timbi,EDCUPE,Ipojuca,41.6801689090858,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Timbi,60,24,BAIXA,TRUE,365,360,0.986301369863014,12,2,347,347,346,344,342,340,100,99.7118155619597,99.135446685879,98.5590778097983,97.9827089337176,TRUE
CUPE,2021,CEMADEN,260720804A,Rurópolis,EDCUPE,Ipojuca,3.31306361103069,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Rurópolis,60,24,BAIXA,TRUE,365,359,0.983561643835616,12,1,347,347,346,345,341,320,100,99.7118155619597,99.4236311239193,98.2708933717579,92.2190201729107,TRUE
CUPE,2021,CEMADEN,260790106A,Piedade,EDCUPE,Ipojuca,30.5818407434982,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Piedade,60,24,BAIXA,TRUE,365,359,0.983561643835616,12,1,347,347,347,345,341,326,100,100,99.4236311239193,98.2708933717579,93.9481268011527,TRUE
CUPE,2021,CEMADEN,260960003A,Bonsucesso,EDCUPE,Ipojuca,48.2006952132787,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Bonsucesso,60,24,BAIXA,TRUE,364,359,0.983561643835616,12,3,347,346,341,341,341,337,99.7118155619597,98.2708933717579,98.2708933717579,98.2708933717579,97.1181556195965,TRUE
CUPE,2021,CEMADEN,260290205A,Pontes dos Carvalhos,EDCUPE,Ipojuca,19.6094816469432,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Pontes dos Carvalhos,60,24,BAIXA,TRUE,365,358,0.980821917808219,12,3,347,347,341,341,341,339,100,98.2708933717579,98.2708933717579,98.2708933717579,97.6945244956772,TRUE
CUPE,2021,CEMADEN,260790101A,Muribeca,EDCUPE,Ipojuca,27.9953383239216,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Muribeca,60,24,BAIXA,TRUE,365,358,0.980821917808219,12,3,347,347,341,341,341,339,100,98.2708933717579,98.2708933717579,98.2708933717579,97.6945244956772,TRUE
CUPE,2021,CEMADEN,260940202A,Centro,EDCUPE,Ipojuca,31.7290943089611,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Centro,60,24,BAIXA,TRUE,364,358,0.980821917808219,12,3,347,346,341,341,341,338,99.7118155619597,98.2708933717579,98.2708933717579,98.2708933717579,97.4063400576369,TRUE
CUPE,2021,CEMADEN,261160604A,Alto Bela Vista | USF Alto Bela Vista-Ibura,EDCUPE,Ipojuca,32.4495921303536,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Alto Bela Vista,60,24,BAIXA,TRUE,364,358,0.980821917808219,12,3,347,346,342,341,341,341,99.7118155619597,98.5590778097983,98.2708933717579,98.2708933717579,98.2708933717579,TRUE
CUPE,2021,CEMADEN,261160621A,Areias,EDCUPE,Ipojuca,35.1807831840281,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Areias,60,24,BAIXA,TRUE,365,358,0.980821917808219,12,3,347,347,341,341,341,336,100,98.2708933717579,98.2708933717579,98.2708933717579,96.8299711815562,TRUE
CUPE,2021,CEMADEN,261160603A,Dois Irmãos | Estação Experimental UFRPE,EDCUPE,Ipojuca,43.4665382684844,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Dois Irmãos,60,24,BAIXA,TRUE,365,358,0.980821917808219,12,3,347,347,342,342,341,340,100,98.5590778097983,98.5590778097983,98.2708933717579,97.9827089337176,TRUE
CUPE,2021,CEMADEN,261160613A,Morro da Conceição,EDCUPE,Ipojuca,44.3910925854235,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Morro da Conceição,60,24,BAIXA,TRUE,365,358,0.980821917808219,12,3,347,347,341,341,341,338,100,98.2708933717579,98.2708933717579,98.2708933717579,97.4063400576369,TRUE
CUPE,2021,CEMADEN,261160605A,Nova Descoberta | UPA de Nova Descoberta,EDCUPE,Ipojuca,46.0547397615018,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,Nova Descoberta,60,24,BAIXA,TRUE,365,358,0.980821917808219,12,3,347,347,341,341,341,337,100,98.2708933717579,98.2708933717579,98.2708933717579,97.1181556195965,TRUE
